지점,도로명,지번,lon,lat
강서점,서울 강서구 화곡로 398 홈플러스강서점,서울 강서구 등촌동 639-11 홈플러스강서점,126.854838,37.558418
강동점,서울 강동구 양재대로 1571 홈플러스강동점,서울 강동구 천호동 42 홈플러스강동점,127.1422439,37.5456582
월드컵점,서울 마포구 월드컵로 240 월드컵주경기장,서울 마포구 성산동 515 홈플러스월드컵점,126.8972774,37.5682588
금천점,서울 금천구 시흥대로 391 삼성홈플러스,서울 금천구 독산동 291-7,126.8968974,37.4686308
영등포점,서울 영등포구 당산로 42 홈플러스영등포점,서울 영등포구 문래동3가 55-3 홈플러스영등포점,126.8958956,37.5181504
잠실점,서울 송파구 올림픽로35가길 16 홈플러스잠실점,서울 송파구 신천동 7-12 홈플러스잠실점,127.1029989,37.5162275
중계점,서울 노원구 동일로204가길 12 홈플러스중계점,서울 노원구 중계동 509-2 홈플러스중계점,127.068653,37.6398053
동대문점,서울 동대문구 천호대로 133 홈플러스동대문점,서울 동대문구 용두동 33-1 홈플러스동대문점,127.0387406,37.5745068
시흥점,서울 금천구 시흥대로 201 홈플러스시흥점,서울 금천구 시흥동 992-47 홈플러스시흥점,126.9007568,37.4518699
방학점,서울 도봉구 도봉로 678 홈플러스방학점,서울 도봉구 방학동 707-7 홈플러스방학점,127.0437103,37.6648017
신도림점,서울 구로구 경인로 661 신도림1차푸르지오,서울 구로구 신도림동 337 대우미래사랑시티 지하 1층,126.8876466,37.5094291
상봉점,서울 중랑구 망우로 353 홈플러스상봉점,서울 중랑구 상봉동 500 홈플러스상봉점,127.0903454,37.5978842
합정점,서울 마포구 양화로 45 메세나폴리스,서울 마포구 서교동 490 홈플러스합정점,126.9133225,37.5510614
가양점,서울 강서구 양천로 431 홈플러스가양점,서울 강서구 가양동 18-24 홈플러스가양점,126.8499416,37.5642454
월곡점,서울 성북구 화랑로 76 홈플러스월곡점,서울 성북구 하월곡동 46-73 홈플러스월곡점,127.0403249,37.6017514
목동점,서울 양천구 목동서로 170 홈플러스목동점,서울 양천구 목동 919-7,126.8732314,37.5302084
신내점,서울 중랑구 신내로 201 홈플러스서울신내점,서울 중랑구 신내동 645,127.0937068,37.6157809
남현점,서울 관악구 과천대로 909 남현프라자,서울 관악구 남현동 612-51,126.9824267,37.4713883
면목점,서울 중랑구 사가정로 332,서울 중랑구 면목동 168-2,127.0798833,37.5808178
