대교이름,위도,경도
행주대교,37.598131,126.809829
방화대교,37.588341,126.826775
가양대교,37.569366,126.861002
성산대교,37.552897,126.891641
양화대교,37.543673,126.904398
서강대교,37.536977,126.92496
마포대교,37.533806,126.937088
원효대교,37.52705,126.945722
한강대교,37.517608,126.95883
동작대교,37.509861,126.981556
반포대교,37.515742,126.99603
한남대교,37.52728,127.012867
동호대교,37.536184,127.021074
성수대교,37.537077,127.03494
영동대교,37.530209,127.057252
청담대교,37.526642,127.064424
잠실대교,37.524419,127.091613
잠실철교,37.528281,127.099139
올림픽대교,37.533986,127.10384
천호대교,37.542963,127.111784
광진교,37.544775,127.113081
