date,data
Jan-16,85.3
Feb-16,85.5
Mar-16,85.6
Apr-16,86
May-16,86.5
Jun-16,87.6
Jul-16,88.9
Aug-16,90
Sep-16,91.2
Oct-16,92.3
Nov-16,92.3
Dec-16,91.6
Jan-17,91.4
Feb-17,91.5
Mar-17,92.2
Apr-17,92.4
May-17,93.7
Jun-17,95.5
Jul-17,97.8
Aug-17,98.1
Sep-17,98.5
Oct-17,99.5
Nov-17,100
Dec-17,100.9
Jan-18,103
Feb-18,104.9
Mar-18,106.2
Apr-18,107.7
May-18,108.1
Jun-18,108.8
Jul-18,110.3
Aug-18,114.9
Sep-18,121.4
Oct-18,122.5
Nov-18,120.7
Dec-18,119.2
Jan-19,118
Feb-19,116.9
Mar-19,115.7
Apr-19,115.8
May-19,116.8
Jun-19,119.3
Jul-19,121.8
Aug-19,123.5
Sep-19,124.9
Oct-19,127
Nov-19,129.6
Dec-19,132
