지점,신주소,구주소,lon,lat
강변점,서울특별시 광진구 광나루로 56길 85,서울 광진구 구의3동 546,127.0957088,37.5349372
구로점,서울특별시 구로구 경인로 482,서울특별시 구로구 구로동 636-89,126.8727381,37.4982529
김포공항점,서울시 강서구 하늘길 38,서울 강서구 방화동 886,126.8025118,37.5667733
삼양점,서울특별시 강북구 삼양로 247,서울 강북구 미아동 1359,127.0177185,37.6254731
서울역점,서울 중구 청파로 426,서울 중구 봉래동2가 122,126.9694999,37.5574069
송파점,서울 송파구 중대로 80,서울 송파구 문정동 150-2,127.1178672,37.4917416
잠실점,서울 송파구 올림픽로 240 롯데마트 잠실점,서울 송파구 잠실동 40-1,127.0963012,37.5115176
서초점,서울 서초구 서초대로 38길12,서울 서초구 서초동 1498-5,127.0057607,37.4908523
중계점,서울 노원구 노원로 330,서울 노원구 중계동 361,127.0709672,37.6466623
청량리점,서울 동대문구 왕산로 214,서울 동대문구 전농동 591-53,127.0479007,37.5792928
행당역점,서울 성동구 행당로 82 한진타운상가 B2~B3층,서울 성동구 행당2동 346번지 한진타운상가 B2~B3층,127.0289482,37.5555573
은평점,서울 은평구 진관동 79-15,서울 은평구 진관동 79-15,126.9175566,37.6376074
양평점,서울 영등포구 선유로 138-0,서울 영등포구 양평동3가 45,126.8913573,37.5264464
금천점,서울 금천구 시흥대로 291-0,서울 금천구 독산동 1155,126.897128,37.4608459
